ID,Year,Mileage,Price
"/tweedehands/ford/focus/38660694",2015,49424,14950
"/tweedehands/ford/ecosport/38660649",2016,12363,18945
"/tweedehands/ford/focus/38660631",2013,130249,9950
"/tweedehands/ford/fiesta/38660580",2010,82033,7245
"/tweedehands/ford/fiesta/38660323",2010,49314,7450
"/tweedehands/ford/transit-connect/38660315",2015,127816,10900
"/tweedehands/ford/b-max/38660290",2015,27488,16450
"/tweedehands/ford/focus/38660285",2011,124255,8450
"/tweedehands/ford/transit-connect/38660283",2012,111713,6500
"/tweedehands/ford/fiesta/38660183",2013,85468,10875
"/tweedehands/ford/fiesta/38660057",2014,42883,12490
"/tweedehands/ford/focus/38659017",2012,114744,13950
"/tweedehands/ford/focus/38658961",2012,116741,10450
"/tweedehands/ford/ka/38658903",2017,15114,13450
"/tweedehands/ford/galaxy/38658797",2012,122054,16450
"/tweedehands/ford/fiesta/38658718",2013,67985,9200
"/tweedehands/ford/galaxy/38658603",2017,21422,39950
"/tweedehands/ford/b-max/38658363",2013,80341,11750
"/tweedehands/ford/fiesta/38658235",2016,24719,11940
"/tweedehands/ford/ka/38658234",2017,10,15349
"/tweedehands/ford/focus/38658218",2013,200392,6899
"/tweedehands/ford/mondeo/38658186",2016,15315,25950
"/tweedehands/ford/fiesta/38658149",2014,41862,10790
"/tweedehands/ford/fiesta/38657998",2017,10,18950
"/tweedehands/ford/ecosport/38657488",2017,5,23550
"/tweedehands/ford/focus/38657408",2010,87373,8950
"/tweedehands/ford/b-max/38657316",2017,12303,18850
"/tweedehands/ford/mondeo/38657298",2014,178066,12945
"/tweedehands/ford/focus/38657274",2011,131830,9950
"/tweedehands/ford/ecosport/38657235",2017,5,22600
"/tweedehands/ford/fiesta/38656892",2016,27232,14950
"/tweedehands/ford/c-max/38656882",2013,104232,13900
"/tweedehands/ford/fiesta/38655584",2014,91353,8950
"/tweedehands/ford/transit-connect/38655500",2011,142376,3995
"/tweedehands/ford/focus/38654194",2011,146298,7950
"/tweedehands/ford/b-max/38654137",2013,60287,15950
"/tweedehands/ford/fiesta/38653533",2015,21895,13985
"/tweedehands/ford/tourneo-connect-compact/38653356",2014,59718,18450
"/tweedehands/ford/focus/38653220",2011,92617,11999
"/tweedehands/ford/fiesta/38653219",2015,80028,9950
"/tweedehands/ford/fiesta/38653211",2013,68658,11450
"/tweedehands/ford/fiesta/38653182",2015,66272,12850
"/tweedehands/ford/transit/38653107",2012,136304,8950
"/tweedehands/ford/fiesta/38652948",2017,1,18900
"/tweedehands/ford/transit-custom/38652480",2015,145902,13900
"/tweedehands/ford/fiesta/38652428",2014,128952,7900
"/tweedehands/ford/focus/38652302",2013,95120,10880
"/tweedehands/ford/fiesta/38652250",2015,35330,9995
"/tweedehands/ford/focus/38652236",2015,31656,18250
"/tweedehands/ford/focus/38652168",2012,102038,10880
"/tweedehands/ford/focus/38652058",2011,94887,11995
"/tweedehands/ford/focus/38651612",2016,45312,15440
"/tweedehands/ford/fiesta/38651370",2014,83403,9200
"/tweedehands/ford/fiesta/38651325",2011,102429,7275
"/tweedehands/ford/fiesta/38651164",2014,70616,9930
"/tweedehands/ford/focus/38651151",2013,188746,6299
"/tweedehands/ford/transit-connect/38651083",2015,24174,10840
"/tweedehands/ford/ka/38650716",2016,5726,13995
"/tweedehands/ford/fiesta/38650571",2017,13117,17900
"/tweedehands/ford/focus/38650536",2012,124844,12745
"/tweedehands/ford/galaxy/38650406",2016,64434,39995
"/tweedehands/ford/b-max/38650309",2013,92487,12950
"/tweedehands/ford/fiesta/38650227",2014,52226,12390
"/tweedehands/ford/kuga/38649925",2017,19099,26900
"/tweedehands/ford/transit/38649817",2015,96921,24340
"/tweedehands/ford/b-max/38649806",2013,53840,13400
"/tweedehands/ford/b-max/38649779",2017,16265,20950
"/tweedehands/ford/fiesta/38649730",2016,20995,14745
"/tweedehands/ford/transit/38649623",2015,83487,24740
"/tweedehands/ford/grand-c-max/38649590",2014,102585,14990
"/tweedehands/ford/ka/38649480",2010,92726,6250
"/tweedehands/ford/focus/38649231",2013,52722,14650
"/tweedehands/ford/kuga/38649156",2016,16094,27425
"/tweedehands/ford/ka/38649138",2012,24560,6900
"/tweedehands/ford/fiesta/38649136",2017,13210,16900
"/tweedehands/ford/fiesta/38648976",2017,17539,16400
"/tweedehands/ford/focus/38648875",2012,173379,6945
"/tweedehands/ford/c-max/38648851",2017,20968,24400
"/tweedehands/ford/transit-custom/38648524",2017,12131,18920
"/tweedehands/ford/focus/38648473",2014,65734,14880
"/tweedehands/ford/focus/38648375",2017,2,25761
"/tweedehands/ford/focus/38647853",2016,57578,19395
"/tweedehands/ford/b-max/38647822",2017,2359,19995
"/tweedehands/ford/galaxy/38647799",2013,148150,19450
"/tweedehands/ford/focus/38647745",2013,181121,7499
"/tweedehands/ford/fusion/38647679",2010,113293,7644
"/tweedehands/ford/grand-c-max/38647600",2016,33346,19445
"/tweedehands/ford/fiesta/38647460",2013,82583,8935
"/tweedehands/ford/galaxy/38647286",2017,5,53950
"/tweedehands/ford/fiesta/38647284",2016,20259,16500
"/tweedehands/ford/fiesta/38647263",2015,62846,8950
"/tweedehands/ford/kuga/38647129",2017,13135,38950
"/tweedehands/ford/ka/38646761",2011,42653,6745
"/tweedehands/ford/focus/38646546",2012,42183,12695
"/tweedehands/ford/focus/38646436",2013,197998,6950
"/tweedehands/ford/fiesta/38646251",2013,58837,10695
"/tweedehands/ford/fiesta/38645538",2012,123440,7245
"/tweedehands/ford/focus/38645412",2015,53588,14995
"/tweedehands/ford/mondeo/38645375",2017,250,40950
"/tweedehands/ford/c-max/38645066",2010,118418,9350
"/tweedehands/ford/fiesta/38644997",2014,64445,11900
"/tweedehands/ford/focus/38644910",2013,100325,11900
"/tweedehands/ford/fiesta/38644882",2011,81718,8940
"/tweedehands/ford/focus/38644650",2016,33415,17490
"/tweedehands/ford/fiesta/38644649",2017,3000,13990
"/tweedehands/ford/c-max/38644391",2017,19551,21222
"/tweedehands/ford/fiesta/38644150",2016,17056,14900
"/tweedehands/ford/focus/38644149",2016,4179,16490
"/tweedehands/ford/focus/38644054",2017,5,24990
"/tweedehands/ford/ecosport/38643881",2017,14,20990
"/tweedehands/ford/b-max/38643705",2017,4,19990
"/tweedehands/ford/b-max/38643553",2017,23028,18990
"/tweedehands/ford/fiesta/38643472",2016,15260,15445
"/tweedehands/ford/s-max/38643379",2013,101133,21880
"/tweedehands/ford/transit-courier/38643139",2015,35309,11850
"/tweedehands/ford/mondeo/38642976",2016,49362,23840
"/tweedehands/ford/focus/38642106",2015,60595,22890
"/tweedehands/ford/ka/38642024",2013,52909,6750
